start_timestamp,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z
2391104.771,324.45,134.26,1983.91
2391114.76,329.17,137.54,2036.11
2391124.782,326.37,136.86,2036.58
2391134.774,334.56,142.14,2113.01
2391144.77,334.96,143.62,2148.01
2391154.755,337.08,146.51,2194.58
2391164.751,347.97,154.35,2297.41
2391174.742,318.6,138.89,2128.24
2391184.734,285.64,120.83,1924.62
2391194.724,297.66,128.69,2036.41
2391204.715,316.13,138.6,2211.12
2391214.71,344.3,153.43,2473.63
2391224.732,358.81,163.9,2612.54
2391234.689,356.82,163.98,2625.69
2391244.684,362.63,168.26,2682.4
2391254.674,346.2,158.95,2553.45
2391264.67,321.6,144.86,2371.37
2391274.685,302.07,135.19,2227.35
2391284.678,300.66,135.59,2212.78
2391294.673,293.27,131.62,2152.41
2391304.665,254.81,109.55,1860.78
2391314.654,227.33,95.42,1657.9
2391324.646,198.5,78.81,1441.6
2391334.638,184.99,70.85,1339.65
2391344.634,180.46,67.71,1305.07
2391354.618,209.03,82.74,1524.11
2391364.614,229.23,93.28,1670.41
2391374.606,243.46,100.01,1782.1
2391384.628,245.69,99.84,1798.43
2391394.618,257.76,104.89,1886.39
2391404.609,283.07,117.16,2068.61
2391414.605,298.01,123.1,2177.91
2391424.596,303.07,124.42,2215.29
2391434.582,311.25,127.68,2273.92
2391444.578,328.58,136.06,2406.65
2391454.568,336.97,139.0,2463.5
2391464.564,345.67,140.82,2522.6
2391474.55,352.21,143.28,2559.71
2391484.542,352.11,142.15,2547.27
2391494.537,343.33,136.06,2477.57
2391504.529,337.63,131.89,2430.41
2391514.519,343.62,134.45,2473.6
2391524.539,351.52,138.46,2530.28
2391534.531,335.38,129.5,2418.02
2391544.528,250.89,76.26,1692.77
2391554.513,47.56,21.22,689.77
2391564.508,-59.91,35.1,847.6
2391574.499,-90.01,29.76,904.01
2391584.492,-151.07,17.9,658.8
2391594.482,-683.9,92.46,2340.19
2391604.472,-473.34,49.76,1568.85
2391614.468,-1683.67,236.24,5536.97
2391624.46,-2170.63,311.48,7127.83
2391634.446,-2473.61,367.59,8193.18
2391644.44,-2616.31,394.48,8680.66
2391654.463,-2998.54,453.46,10023.88
2391664.46,-3730.93,568.85,12538.34
2391674.444,-3075.04,467.66,10353.71
2391684.436,-2678.1,407.99,9054.03
2391694.431,-1585.45,232.74,5337.3
2391704.422,702.33,-134.98,-2428.83
2391714.412,-2185.4,331.47,7465.91
2391724.403,-4568.12,716.52,15649.17
2391734.395,-2635.98,396.9,8995.23
2391744.392,542.84,-104.91,-1884.36
2391754.377,-341.39,99.85,1446.51
2391764.372,-184.16,167.47,1728.65
2391774.363,-62.94,379.19,2829.9
2391784.387,13.5,347.09,2361.62
2391794.377,79.96,743.64,4326.0
2391804.366,106.98,1049.59,5952.48
2391814.361,79.45,810.53,4569.04
2391824.354,59.66,695.99,3917.21
2391834.341,73.58,826.3,4600.1
2391844.336,96.6,771.34,4087.63
2391854.326,44.74,315.3,1595.52
2391864.323,30.49,307.86,854.85
2391874.308,42.17,393.01,1220.12
2391884.299,33.24,318.74,934.53
2391894.294,78.7,842.23,2313.78
2391904.318,79.14,848.31,2326.17
2391914.308,39.23,419.47,1165.93
2391924.298,30.63,341.05,967.87
2391934.29,45.89,513.67,1444.41
2391944.286,26.65,297.81,857.49
2391954.271,27.26,313.69,902.82
2391964.266,30.14,358.05,1036.36
2391974.257,35.71,431.36,1242.53
2391984.251,38.91,460.91,1336.65
2391994.241,37.43,423.87,1253.81
2392004.231,36.63,429.69,1278.35
2392014.226,36.8,447.75,1338.97
2392024.248,36.67,431.74,1298.68
2392034.235,38.09,404.55,1223.56
2392044.23,44.55,491.84,1486.39
2392054.221,45.81,800.77,2428.7
2392064.217,-28.82,934.5,2790.96
2392074.203,-93.64,545.42,1549.19
2392084.195,-118.97,488.3,1319.2
2392094.19,-151.72,622.59,1674.67
